ID	Range	genotype	experiment	sublock	Block	WHOLE WEIGHT (g)	W.W-COBS	20 KERNELS WEIGHT	COB LENGTH (CM)	COB DIA MM
21HL_JY1166	24	BGEM-0008-S	LN	sb3	bk4	40.5333333333333	31.8	5.16666666666667	11.8	20.8266666666667
21HL_JY1167	24	BGEM-0181-N	LN	sb3	bk4	34.9	20.2	5.45	12.35	22.615
21HL_JY1168	24	BGEM-0211-N	LN	sb3	bk4	75.6	58.4666666666667	5	11.9666666666667	24.57
21HL_JY1169	24	BGEM-0150-S	LN	sb3	bk4	109.933333333333	84.3	4.66666666666667	14.0666666666667	28.0933333333333
21HL_JY1170	24	B73	LN	sb3	bk4	83.6	60.2	4.1	14	29.28
21HL_JY1171	24	BGEM-0173-S	LN	sb3	bk4	48.5666666666667	34.6333333333333	4.43333333333333	12.2333333333333	22.08
21HL_JY1172	24	BGEM-0134-S	LN	sb3	bk4	57	48.8	4.7	11.5333333333333	19.83
21HL_JY1173	24	BGEM-0023-S	LN	sb3	bk4	88.9333333333333	65.8333333333333	6.63333333333333	14.9333333333333	25.2
21HL_JY1174	24	BGEM-0161-S	LN	sb3	bk4	41.6333333333333	33.3666666666667	4.9	11.1333333333333	18.89
21HL_JY1175	24	BGEM-0216-N	LN	sb3	bk4	45.7	35.8666666666667	4.76666666666667	10.6	23.1866666666667
21HL_JY1176	24	BGEM-0102-N	LN	sb4	bk4	67.5666666666667	50.4333333333333	6.2	15.8333333333333	20.37
21HL_JY1177	24	BGEM-0064-N	LN	sb4	bk4	65.5	50.4	4.8	10.3666666666667	24.4733333333333
21HL_JY1178	24	BGEM-0259-N	LN	sb4	bk4	94.7333333333333	76.4	4.03333333333333	12.5333333333333	26.0566666666667
21HL_JY1179	24	BGEM-0239-N	LN	sb4	bk4	115.666666666667	89.8	5.33333333333333	15.6333333333333	23.8166666666667
21HL_JY1180	24	BGEM-0165-S	LN	sb4	bk4	41.7666666666667	23.7666666666667	5.46666666666667	13.7333333333333	23.71
21HL_JY1181	24	BGEM-0185-N	LN	sb4	bk4	224.333333333333	183.033333333333	6	21.3	27.3
21HL_JY1182	24	BGEM-0166-S	LN	sb4	bk4	64.0666666666667	37.8666666666667	5.53333333333333	16.5	22.2766666666667
21HL_JY1183	24	BGEM-0025-S	LN	sb4	bk4	110.633333333333	93.3666666666667	6.53333333333333	15.8666666666667	20.7266666666667
21HL_JY1184	24	BGEM-0201-N	LN	sb4	bk4	104.666666666667	82.5333333333333	4.16666666666667	13.6333333333333	27.3333333333333
21HL_JY1185	24	B73	LN	sb4	bk4	97.5333333333333	75.5333333333333	4.43333333333333	13.2	27.4766666666667
21HL_JY1186	24	BGEM-0100-S	LN	sb4	bk4	61.4	48.8666666666667	5.5	12.9666666666667	21.6466666666667
21HL_JY1187	24	BGEM-0179-S	LN	sb4	bk4	104.3	78.6666666666667	6.03333333333333	14.2666666666667	28.7533333333333
21HL_JY1189	24	BGEM-0253-N	LN	sb4	bk4	74.7333333333333	60.9666666666667	4.46666666666667	13.1666666666667	21.9933333333333
21HL_JY1190	24	B73	LN	sb4	bk4	101.2	73.5666666666667	4.2	15.1666666666667	29.0633333333333
21HL_JY1191	24	BGEM-0230-N	LN	sb4	bk4	35.1666666666667	26.2666666666667	4.76666666666667	11.5666666666667	18.1233333333333
21HL_JY1192	24	BGEM-0044-S	LN	sb4	bk4	66.4	48.8666666666667	4.8	13.6333333333333	22.5266666666667
21HL_JY1193	24	B73	LN	sb4	bk4	122.366666666667	96.2	4.13333333333333	14.9333333333333	28.86
21HL_JY1194	24	BGEM-0237-N	LN	sb4	bk4	95.6333333333333	70.3333333333333	4.63333333333333	14.6333333333333	28.6533333333333
21HL_JY1195	24	BGEM-0168-S	LN	sb4	bk4	46.2	34.7333333333333	5.13333333333333	11.3333333333333	19.0466666666667
21HL_JY1196	24	B73	LN	sb4	bk4	93.6333333333333	70.3666666666667	5	13.5	28.9733333333333
21HL_JY1197	24	BGEM-0169-S	LN	sb4	bk4	107.1	82.2333333333333	4.5	14.5	28.23
21HL_JY1198	24	BGEM-0215-N	LN	sb4	bk4	36.2	12.2	3.46666666666667	15.0666666666667	27.1133333333333
21HL_JY1200	24	B73	LN	sb4	bk4	76.1666666666667	49.5666666666667	4.23333333333333	14.7666666666667	28.4133333333333
21HL_JY1201	25	BGEM-0125-N	LN	sb3	bk4	20.5	10.9666666666667	4.66666666666667	11.3	20.53
21HL_JY1202	25	BGEM-0175-S	LN	sb3	bk4	41.45	23.45	4.6	15.4	22.43
21HL_JY1203	25	BGEM-0106-N	LN	sb3	bk4	109.833333333333	83.5333333333333	6.13333333333333	18.5666666666667	23.9866666666667
21HL_JY1204	25	BGEM-0191-N	LN	sb3	bk4	21.7666666666667	10.0666666666667	4.23333333333333	11.4333333333333	20.8566666666667
21HL_JY1205	25	BGEM-0011-S	LN	sb3	bk4	66.6	53.1666666666667	5.7	12.3	25.37
21HL_JY1206	25	B73	LN	sb3	bk4	122.033333333333	94.6666666666667	4.63333333333333	14.7	28.0133333333333
21HL_JY1207	25	BGEM-0091-N	LN	sb3	bk4	73.6	55.4666666666667	4.56666666666667	13.7333333333333	23.8933333333333
21HL_JY1208	25	BGEM-0249-N	LN	sb3	bk4	26.9333333333333	16.3	5.63333333333333	11.3333333333333	21.8766666666667
21HL_JY1209	25	BGEM-0197-S	LN	sb3	bk4	133.633333333333	102.933333333333	5.13333333333333	15.7	29.3433333333333
21HL_JY1210	25	B73	LN	sb3	bk4	111.333333333333	83.9	3.9	14.5666666666667	29.53
21HL_JY1211	25	B73	LN	sb3	bk4	105.666666666667	80.6666666666667	4.43333333333333	13.6666666666667	28.1366666666667
